deal_id,account_id,owner_user_id,pipeline_id,current_stage_id,status,created_at,closed_at,last_stage_changed_at,amount,currency,country_code,source_system,days_cycle_days,days_last_seen
deal_1,account_15,user_13,pipeline_5,stage_4,open,2026-01-01,NULL,"2026-02-04 13:39:00.000",17491.37,DKK,UK,manual_import,NULL,NULL
deal_2,account_58,user_302,pipeline_5,stage_6,won,2026-01-01,2026-02-27,"2026-01-19 08:06:00.000",4865.75,EUR,NO,integration,57,141
deal_3,account_104,user_23,pipeline_8,stage_5,open,2026-01-01,NULL,"2026-01-19 23:19:00.000",60954.26,EUR,SE,crm_backend,NULL,NULL
deal_4,account_107,user_187,pipeline_3,stage_3,open,2026-01-01,NULL,"2026-02-13 15:32:00.000",34256.82,GBP,UK,manual_import,NULL,NULL
deal_5,account_108,user_394,pipeline_1,stage_6,won,2026-01-01,2026-02-24,"2026-01-06 11:54:00.000",5531.79,EUR,UK,integration,54,144
deal_6,account_59,user_74,pipeline_5,stage_3,open,2026-01-01,NULL,"2026-02-07 17:40:00.000",13773.87,EUR,NO,crm_backend,NULL,NULL
deal_7,account_102,user_349,pipeline_7,stage_3,open,2026-01-02,NULL,"2026-01-18 18:31:00.000",44010.93,EUR,UK,integration,NULL,NULL
deal_8,account_59,user_2,pipeline_5,stage_6,won,2026-01-02,2026-01-18,"2026-01-09 16:32:00.000",4834.07,NOK,NL,crm_backend,16,180
deal_9,account_119,user_186,pipeline_5,stage_5,open,2026-01-03,NULL,"2026-01-08 20:22:00.000",12792.28,DKK,NL,crm_backend,NULL,NULL
deal_10,account_28,user_277,pipeline_4,stage_3,open,2026-01-04,NULL,"2026-02-06 21:01:00.000",10441.01,EUR,NO,manual_import,NULL,NULL
deal_11,account_116,user_17,pipeline_6,stage_1,open,2026-01-04,NULL,"2026-02-07 11:27:00.000",11680.23,EUR,DE,crm_backend,NULL,NULL
deal_12,account_46,user_217,pipeline_7,stage_6,won,2026-01-04,2026-03-31,"2026-01-12 15:58:00.000",7831.46,EUR,SE,manual_import,86,108
deal_13,account_36,user_237,pipeline_4,stage_5,open,2026-01-04,NULL,"2026-01-07 18:30:00.000",13032.33,EUR,DE,integration,NULL,NULL
deal_14,account_22,user_195,pipeline_1,stage_4,open,2026-01-05,NULL,"2026-02-02 00:08:00.000",10942.46,EUR,UK,manual_import,NULL,NULL
