event_date,event_name,has_deal_category,account_id,event_count,unique_users
NULL,create_deal,PIPELINE,NULL,8,8
NULL,create_deal,PIPELINE,account_1,9,9
NULL,create_deal,PIPELINE,account_10,9,9
NULL,create_deal,PIPELINE,account_100,5,5
NULL,create_deal,PIPELINE,account_102,10,10
NULL,create_deal,PIPELINE,account_103,7,5
NULL,create_deal,PIPELINE,account_104,4,4
NULL,create_deal,PIPELINE,account_105,10,9
NULL,create_deal,PIPELINE,account_106,8,7
NULL,create_deal,PIPELINE,account_107,6,6
NULL,create_deal,PIPELINE,account_108,7,6
NULL,create_deal,PIPELINE,account_109,5,5
NULL,create_deal,PIPELINE,account_11,12,10
NULL,create_deal,PIPELINE,account_110,7,6
NULL,create_deal,PIPELINE,account_111,3,3
NULL,create_deal,PIPELINE,account_112,9,9
NULL,create_deal,PIPELINE,account_113,9,8
NULL,create_deal,PIPELINE,account_114,7,7
NULL,create_deal,PIPELINE,account_115,12,9
NULL,create_deal,PIPELINE,account_116,8,8
NULL,create_deal,PIPELINE,account_117,4,4
NULL,create_deal,PIPELINE,account_118,13,11
NULL,create_deal,PIPELINE,account_119,8,8
NULL,create_deal,PIPELINE,account_12,7,6
NULL,create_deal,PIPELINE,account_120,7,6
NULL,create_deal,PIPELINE,account_13,11,9
NULL,create_deal,PIPELINE,account_14,5,5
NULL,create_deal,PIPELINE,account_15,11,11
NULL,create_deal,PIPELINE,account_16,13,11
NULL,create_deal,PIPELINE,account_17,3,3
NULL,create_deal,PIPELINE,account_18,7,6
NULL,create_deal,PIPELINE,account_19,4,4
NULL,create_deal,PIPELINE,account_2,4,3
NULL,create_deal,PIPELINE,account_20,7,5
NULL,create_deal,PIPELINE,account_21,12,10
NULL,create_deal,PIPELINE,account_22,10,10
NULL,create_deal,PIPELINE,account_23,9,9
NULL,create_deal,PIPELINE,account_24,6,6
NULL,create_deal,PIPELINE,account_25,6,5
NULL,create_deal,PIPELINE,account_26,6,6
NULL,create_deal,PIPELINE,account_27,8,7
NULL,create_deal,PIPELINE,account_28,6,6
NULL,create_deal,PIPELINE,account_29,15,15
NULL,create_deal,PIPELINE,account_3,9,9
NULL,create_deal,PIPELINE,account_30,5,5
NULL,create_deal,PIPELINE,account_31,12,10
NULL,create_deal,PIPELINE,account_32,9,8
NULL,create_deal,PIPELINE,account_33,3,3
NULL,create_deal,PIPELINE,account_34,9,8
NULL,create_deal,PIPELINE,account_35,7,5
NULL,create_deal,PIPELINE,account_36,11,10
NULL,create_deal,PIPELINE,account_37,7,7
NULL,create_deal,PIPELINE,account_38,8,7
NULL,create_deal,PIPELINE,account_39,6,5
NULL,create_deal,PIPELINE,account_4,13,12
NULL,create_deal,PIPELINE,account_40,11,10
NULL,create_deal,PIPELINE,account_41,9,8
NULL,create_deal,PIPELINE,account_42,6,6
NULL,create_deal,PIPELINE,account_43,6,5
NULL,create_deal,PIPELINE,account_44,10,9
NULL,create_deal,PIPELINE,account_45,7,6
NULL,create_deal,PIPELINE,account_46,10,10
NULL,create_deal,PIPELINE,account_47,12,12
NULL,create_deal,PIPELINE,account_48,6,6
NULL,create_deal,PIPELINE,account_49,11,8
NULL,create_deal,PIPELINE,account_5,8,7
NULL,create_deal,PIPELINE,account_50,3,3
NULL,create_deal,PIPELINE,account_51,9,8
NULL,create_deal,PIPELINE,account_52,7,6
NULL,create_deal,PIPELINE,account_53,10,10
NULL,create_deal,PIPELINE,account_54,7,7
NULL,create_deal,PIPELINE,account_55,6,6
NULL,create_deal,PIPELINE,account_56,9,9
NULL,create_deal,PIPELINE,account_57,4,3
NULL,create_deal,PIPELINE,account_58,3,3
NULL,create_deal,PIPELINE,account_59,9,9
NULL,create_deal,PIPELINE,account_6,7,7
NULL,create_deal,PIPELINE,account_60,7,7
NULL,create_deal,PIPELINE,account_61,6,6
NULL,create_deal,PIPELINE,account_62,7,6
NULL,create_deal,PIPELINE,account_63,9,7
NULL,create_deal,PIPELINE,account_64,5,5
NULL,create_deal,PIPELINE,account_65,8,5
NULL,create_deal,PIPELINE,account_66,9,8
NULL,create_deal,PIPELINE,account_67,4,4
NULL,create_deal,PIPELINE,account_68,7,7
NULL,create_deal,PIPELINE,account_69,8,8
NULL,create_deal,PIPELINE,account_7,10,9
NULL,create_deal,PIPELINE,account_70,6,6
NULL,create_deal,PIPELINE,account_71,8,7
NULL,create_deal,PIPELINE,account_72,7,7
NULL,create_deal,PIPELINE,account_73,10,8
NULL,create_deal,PIPELINE,account_74,8,6
NULL,create_deal,PIPELINE,account_75,5,3
NULL,create_deal,PIPELINE,account_76,8,8
NULL,create_deal,PIPELINE,account_77,9,7
NULL,create_deal,PIPELINE,account_78,5,5
NULL,create_deal,PIPELINE,account_79,14,12
NULL,create_deal,PIPELINE,account_8,4,4
NULL,create_deal,PIPELINE,account_80,8,7
NULL,create_deal,PIPELINE,account_81,11,11
NULL,create_deal,PIPELINE,account_82,7,5
NULL,create_deal,PIPELINE,account_83,5,5
NULL,create_deal,PIPELINE,account_84,7,7
NULL,create_deal,PIPELINE,account_85,5,4
NULL,create_deal,PIPELINE,account_86,13,13
NULL,create_deal,PIPELINE,account_87,10,7
NULL,create_deal,PIPELINE,account_88,11,10
NULL,create_deal,PIPELINE,account_89,9,7
NULL,create_deal,PIPELINE,account_9,8,7
NULL,create_deal,PIPELINE,account_90,9,7
NULL,create_deal,PIPELINE,account_91,14,12
NULL,create_deal,PIPELINE,account_92,9,7
NULL,create_deal,PIPELINE,account_93,12,10
NULL,create_deal,PIPELINE,account_94,4,4
NULL,create_deal,PIPELINE,account_95,16,14
NULL,create_deal,PIPELINE,account_96,8,8
NULL,create_deal,PIPELINE,account_97,7,6
NULL,create_deal,PIPELINE,account_98,10,9
NULL,create_deal,PIPELINE,account_99,5,5
NULL,enable_automation,AUTOMATION,NULL,8,8
NULL,enable_automation,AUTOMATION,account_1,11,10
NULL,enable_automation,AUTOMATION,account_10,7,6
NULL,enable_automation,AUTOMATION,account_100,9,9
NULL,enable_automation,AUTOMATION,account_101,8,8
NULL,enable_automation,AUTOMATION,account_102,12,11
NULL,enable_automation,AUTOMATION,account_103,8,6
NULL,enable_automation,AUTOMATION,account_104,9,8
NULL,enable_automation,AUTOMATION,account_105,6,6
NULL,enable_automation,AUTOMATION,account_106,8,8
NULL,enable_automation,AUTOMATION,account_107,11,11
NULL,enable_automation,AUTOMATION,account_108,6,5
NULL,enable_automation,AUTOMATION,account_109,12,11
NULL,enable_automation,AUTOMATION,account_11,10,8
NULL,enable_automation,AUTOMATION,account_110,8,8
NULL,enable_automation,AUTOMATION,account_111,7,6
NULL,enable_automation,AUTOMATION,account_112,7,6
NULL,enable_automation,AUTOMATION,account_113,10,7
NULL,enable_automation,AUTOMATION,account_114,7,7
NULL,enable_automation,AUTOMATION,account_115,10,9
NULL,enable_automation,AUTOMATION,account_116,8,7
NULL,enable_automation,AUTOMATION,account_117,10,6
NULL,enable_automation,AUTOMATION,account_118,6,6
NULL,enable_automation,AUTOMATION,account_119,6,6
NULL,enable_automation,AUTOMATION,account_12,10,10
NULL,enable_automation,AUTOMATION,account_120,11,9
NULL,enable_automation,AUTOMATION,account_13,8,8
NULL,enable_automation,AUTOMATION,account_14,9,9
NULL,enable_automation,AUTOMATION,account_15,8,8
NULL,enable_automation,AUTOMATION,account_16,7,6
NULL,enable_automation,AUTOMATION,account_17,12,11
NULL,enable_automation,AUTOMATION,account_18,9,8
NULL,enable_automation,AUTOMATION,account_19,9,7
NULL,enable_automation,AUTOMATION,account_2,8,7
NULL,enable_automation,AUTOMATION,account_20,7,7
NULL,enable_automation,AUTOMATION,account_21,2,2
NULL,enable_automation,AUTOMATION,account_22,7,7
NULL,enable_automation,AUTOMATION,account_23,6,6
NULL,enable_automation,AUTOMATION,account_24,10,9
NULL,enable_automation,AUTOMATION,account_25,12,11
NULL,enable_automation,AUTOMATION,account_26,6,5
NULL,enable_automation,AUTOMATION,account_27,6,5
NULL,enable_automation,AUTOMATION,account_28,7,7
NULL,enable_automation,AUTOMATION,account_29,10,9
NULL,enable_automation,AUTOMATION,account_3,6,6
NULL,enable_automation,AUTOMATION,account_30,11,10
NULL,enable_automation,AUTOMATION,account_31,7,7
NULL,enable_automation,AUTOMATION,account_32,8,7
NULL,enable_automation,AUTOMATION,account_33,8,8
NULL,enable_automation,AUTOMATION,account_34,14,10
NULL,enable_automation,AUTOMATION,account_35,8,8
NULL,enable_automation,AUTOMATION,account_36,2,2
NULL,enable_automation,AUTOMATION,account_37,10,9
NULL,enable_automation,AUTOMATION,account_38,6,5
NULL,enable_automation,AUTOMATION,account_39,8,8
NULL,enable_automation,AUTOMATION,account_4,10,8
NULL,enable_automation,AUTOMATION,account_40,10,9
NULL,enable_automation,AUTOMATION,account_41,13,11
NULL,enable_automation,AUTOMATION,account_42,8,7
NULL,enable_automation,AUTOMATION,account_43,7,6
NULL,enable_automation,AUTOMATION,account_44,8,7
NULL,enable_automation,AUTOMATION,account_45,11,9
NULL,enable_automation,AUTOMATION,account_46,12,11
NULL,enable_automation,AUTOMATION,account_47,11,11
NULL,enable_automation,AUTOMATION,account_48,5,5
NULL,enable_automation,AUTOMATION,account_49,13,10
NULL,enable_automation,AUTOMATION,account_5,11,10
NULL,enable_automation,AUTOMATION,account_50,11,9
NULL,enable_automation,AUTOMATION,account_51,9,8
NULL,enable_automation,AUTOMATION,account_52,6,6
NULL,enable_automation,AUTOMATION,account_53,3,3
NULL,enable_automation,AUTOMATION,account_54,7,7
NULL,enable_automation,AUTOMATION,account_55,10,9
NULL,enable_automation,AUTOMATION,account_56,8,7
NULL,enable_automation,AUTOMATION,account_57,4,3
NULL,enable_automation,AUTOMATION,account_58,7,5
NULL,enable_automation,AUTOMATION,account_59,10,8
NULL,enable_automation,AUTOMATION,account_6,11,8
NULL,enable_automation,AUTOMATION,account_60,5,4
NULL,enable_automation,AUTOMATION,account_61,3,3
NULL,enable_automation,AUTOMATION,account_62,6,6
NULL,enable_automation,AUTOMATION,account_63,13,11
NULL,enable_automation,AUTOMATION,account_64,7,6
NULL,enable_automation,AUTOMATION,account_65,5,5
NULL,enable_automation,AUTOMATION,account_66,7,6
NULL,enable_automation,AUTOMATION,account_67,4,4
NULL,enable_automation,AUTOMATION,account_68,15,12
NULL,enable_automation,AUTOMATION,account_69,11,8
NULL,enable_automation,AUTOMATION,account_7,7,6
NULL,enable_automation,AUTOMATION,account_70,3,3
NULL,enable_automation,AUTOMATION,account_71,6,6
NULL,enable_automation,AUTOMATION,account_72,4,3
NULL,enable_automation,AUTOMATION,account_73,5,5
NULL,enable_automation,AUTOMATION,account_74,14,13
NULL,enable_automation,AUTOMATION,account_75,9,7
NULL,enable_automation,AUTOMATION,account_76,10,8
NULL,enable_automation,AUTOMATION,account_77,9,7
NULL,enable_automation,AUTOMATION,account_78,9,9
NULL,enable_automation,AUTOMATION,account_79,6,6
NULL,enable_automation,AUTOMATION,account_8,14,14
NULL,enable_automation,AUTOMATION,account_80,8,5
NULL,enable_automation,AUTOMATION,account_81,8,6
NULL,enable_automation,AUTOMATION,account_82,7,7
NULL,enable_automation,AUTOMATION,account_83,10,8
NULL,enable_automation,AUTOMATION,account_84,9,8
NULL,enable_automation,AUTOMATION,account_85,10,10
NULL,enable_automation,AUTOMATION,account_86,4,4
NULL,enable_automation,AUTOMATION,account_87,11,11
NULL,enable_automation,AUTOMATION,account_88,10,10
NULL,enable_automation,AUTOMATION,account_89,7,7
NULL,enable_automation,AUTOMATION,account_9,11,10
NULL,enable_automation,AUTOMATION,account_90,6,5
NULL,enable_automation,AUTOMATION,account_91,15,12
NULL,enable_automation,AUTOMATION,account_92,5,4
NULL,enable_automation,AUTOMATION,account_93,13,11
NULL,enable_automation,AUTOMATION,account_94,8,8
NULL,enable_automation,AUTOMATION,account_95,10,9
NULL,enable_automation,AUTOMATION,account_96,6,6
NULL,enable_automation,AUTOMATION,account_97,9,8
NULL,enable_automation,AUTOMATION,account_98,7,7
NULL,enable_automation,AUTOMATION,account_99,12,10
NULL,invite_user,OTHER,NULL,5,5
NULL,invite_user,OTHER,account_1,2,2
NULL,invite_user,OTHER,account_10,1,1
NULL,invite_user,OTHER,account_101,3,3
NULL,invite_user,OTHER,account_102,2,2
NULL,invite_user,OTHER,account_103,2,2
NULL,invite_user,OTHER,account_104,1,1
NULL,invite_user,OTHER,account_106,2,2
NULL,invite_user,OTHER,account_107,2,2
NULL,invite_user,OTHER,account_108,2,1
NULL,invite_user,OTHER,account_109,2,2
NULL,invite_user,OTHER,account_11,2,2
NULL,invite_user,OTHER,account_110,2,2
NULL,invite_user,OTHER,account_111,5,4
NULL,invite_user,OTHER,account_112,1,1
NULL,invite_user,OTHER,account_113,3,3
NULL,invite_user,OTHER,account_114,2,2
NULL,invite_user,OTHER,account_115,3,3
NULL,invite_user,OTHER,account_116,3,3
NULL,invite_user,OTHER,account_117,3,3
NULL,invite_user,OTHER,account_118,3,3
NULL,invite_user,OTHER,account_12,1,1
NULL,invite_user,OTHER,account_120,3,3
NULL,invite_user,OTHER,account_14,5,5
NULL,invite_user,OTHER,account_15,4,4
NULL,invite_user,OTHER,account_16,5,5
NULL,invite_user,OTHER,account_17,2,2
NULL,invite_user,OTHER,account_18,3,3
NULL,invite_user,OTHER,account_19,2,2
NULL,invite_user,OTHER,account_2,3,2
NULL,invite_user,OTHER,account_20,5,5
NULL,invite_user,OTHER,account_21,6,6
